['12:03:14.524', '[-3. -4.]']
['12:03:14.544', '[-3. -4.]']
['12:03:14.579', '[-3. -4.]']
['12:03:14.605', '[-3. -4.]']
['12:03:14.638', '[-3. -4.]']
['12:03:14.675', '[-3. -4.]']
['12:03:14.716', '[-3. -4.]']
['12:03:14.760', '[-3. -4.]']
['12:03:14.804', '[-3. -4.]']
['12:03:14.855', '[-3. -4.]']
['12:03:14.893', '[-3. -4.]']
['12:03:14.919', '[-3. -4.]']
['12:03:14.946', '[-3. -4.]']
['12:03:14.973', '[-3. -4.]']
['12:03:14.995', '[-3. -4.]']
['12:03:15.008', '[-3. -4.]']
['12:03:15.029', '[-3. -4.]']
['12:03:15.042', '[-3. -4.]']
['12:03:15.062', '[-3. -4.]']
['12:03:15.073', '[-3. -4.]']
['12:03:15.090', '[-3. -4.]']
['12:03:15.105', '[-3. -4.]']
['12:03:15.115', '[-3. -4.]']
['12:03:15.136', '[-3. -4.]']
['12:03:15.153', '[-3. -4.]']
['12:03:15.175', '[-3. -4.]']
['12:03:15.209', '[-3. -4.]']
['12:03:15.245', '[-3. -4.]']
['12:03:15.301', '[-3. -4.]']
['12:03:15.324', '[-3. -4.]']
['12:03:15.341', '[-3. -4.]']
['12:03:15.361', '[-3. -4.]']
['12:03:15.378', '[-3. -4.]']
['12:03:15.399', '[-3. -4.]']
['12:03:15.429', '[-3. -4.]']
['12:03:15.473', '[-3. -4.]']
['12:03:15.505', '[-3. -4.]']
['12:03:15.528', '[-3. -4.]']
['12:03:15.553', '[-3. -4.]']
['12:03:15.579', '[-3. -4.]']
['12:03:15.607', '[-3. -4.]']
['12:03:15.635', '[-3. -4.]']
['12:03:15.652', '[-3. -4.]']
['12:03:15.668', '[-3. -4.]']
['12:03:15.685', '[-3. -4.]']
['12:03:15.708', '[-3. -4.]']
['12:03:15.731', '[-3. -4.]']
['12:03:15.757', '[-3. -4.]']
['12:03:15.792', '[-3. -4.]']
['12:03:15.835', '[-3. -4.]']
['12:03:15.904', '[-3. -4.]']
['12:03:15.962', '[-3. -4.]']
['12:03:15.997', '[-3. -4.]']
['12:03:16.038', '[-3. -4.]']
